Navarasa Dimension,Test Count,Percentage
Shringara (happy path),176,51.0%
Shanta (steady-state),33,9.6%
Bibhatsa (security),32,9.3%
Bhayanaka (fault injection),26,7.5%
Karuna (edge-user),25,7.2%
Vira (recovery),22,6.4%
Raudra (stress/load),18,5.2%
Hasya (graceful degradation),11,3.2%
Adbhuta (boundary),2,0.6%
Total,345,100%
